country,year,sex,age,suicides_no,population,suicides/100k pop
Bahrain,2014,male,35-54 years,1,258922,0.39
Bahrain,2014,female,15-24 years,0,78926,0.0
Bahrain,2014,female,35-54 years,0,139103,0.0
Bahrain,2014,female,5-14 years,0,82452,0.0
Bahrain,2014,female,55-74 years,0,41406,0.0
Bahrain,2014,female,75+ years,0,6154,0.0
Bahrain,2014,male,5-14 years,0,86539,0.0
Bahrain,2014,male,55-74 years,0,64351,0.0
Bahrain,2014,male,75+ years,0,6688,0.0
Barbados,2010,male,35-54 years,3,39379,7.62
Barbados,2010,female,15-24 years,0,18739,0.0
Barbados,2010,female,25-34 years,0,19612,0.0
Barbados,2010,female,35-54 years,0,43369,0.0
Barbados,2010,female,5-14 years,0,18590,0.0
Barbados,2010,female,55-74 years,0,26589,0.0
Barbados,2010,female,75+ years,0,9853,0.0
Barbados,2010,male,15-24 years,0,18747,0.0
Barbados,2010,male,25-34 years,0,18826,0.0
Barbados,2010,male,5-14 years,0,19462,0.0
Barbados,2010,male,55-74 years,0,22675,0.0
Barbados,2010,male,75+ years,0,6086,0.0
Barbados,2011,female,15-24 years,0,18660,0.0
Barbados,2011,female,25-34 years,0,19511,0.0
Barbados,2011,female,35-54 years,0,43221,0.0
Barbados,2011,female,5-14 years,0,18501,0.0
Barbados,2011,female,55-74 years,0,27506,0.0
Barbados,2011,female,75+ years,0,10011,0.0
Barbados,2011,male,15-24 years,0,18668,0.0
Barbados,2011,male,25-34 years,0,18675,0.0
Barbados,2011,male,35-54 years,0,39290,0.0
Barbados,2011,male,5-14 years,0,19431,0.0
Barbados,2011,male,55-74 years,0,23496,0.0
Barbados,2011,male,75+ years,0,6233,0.0
Barbados,2012,female,15-24 years,0,18575,0.0
Barbados,2012,female,25-34 years,0,19421,0.0
Barbados,2012,female,35-54 years,0,42921,0.0
Barbados,2012,female,5-14 years,0,18436,0.0
Barbados,2012,female,55-74 years,0,28473,0.0
Barbados,2012,female,75+ years,0,10166,0.0
Barbados,2012,male,15-24 years,0,18579,0.0
Barbados,2012,male,25-34 years,0,18523,0.0
Barbados,2012,male,35-54 years,0,39060,0.0
Barbados,2012,male,5-14 years,0,19402,0.0
Barbados,2012,male,55-74 years,0,24339,0.0
Barbados,2012,male,75+ years,0,6375,0.0
Barbados,2013,female,15-24 years,0,18473,0.0
Barbados,2013,female,25-34 years,0,19336,0.0
Barbados,2013,female,35-54 years,0,42518,0.0
Barbados,2013,female,5-14 years,0,18384,0.0
Barbados,2013,female,55-74 years,0,29474,0.0
Barbados,2013,female,75+ years,0,10306,0.0
